master_id,who,Cohort,Cohort_Var_Name,Full_Description,Cohort_Var_Description,Consensus Category,Test Categories
87,P,Airwave,F_734,How often have you been bothered by any of the following problems over the last two weeks - trouble falling or staying asleep or sleeping too much,over past 2 weeks has been bothered by trouble falling or staying asleep - too much sleep,"['Sleep Difficulty', 'Sleep Latency and Waking']",['No Specific Test']
540,P,Airwave,F_089,How much sleep do you usually get over a 24 hour period,amount of sleep usually enjoyed over a 24 hour period,['Sleep Duration'],['No Specific Test']
446,P,Airwave,F_188,Think about the most recent or disturbing work related incident you have dealt with since the last screen. If you have experienced any of the (listed) reactions at least twice in the last week please tell us about it - difficulty falling or staying asleep,following traumatic event has been bothered by difficulty falling or staying asleep,"['Sleep Difficulty', 'Mental Health and Sleep', 'Sleep Latency and Waking']",['No Specific Test']
741,P,Airwave,F_184,Think about the most recent or disturbing work related incident you have dealt with since the last screen. If you have experienced any of the (listed) reactions at least twice in the last week please tell us about it - Upsetting dreams about the event,following traumatic event has been bothered by upsetting dreams,['Dreams'],['No Specific Test']
11,BJD,AMPLE,SD_Insomnia,sleep disorders - insomnia,sleep disorders - insomnia,['Sleep Disorders'],['No Specific Test']
64,BJD,AMPLE,Ex_Sleep_Ever,excessive daytime sleepiness ever,excessive daytime sleepiness ever,['Daytime Sleepiness'],['No Specific Test']
82,BJD,AMPLE,SD_Ex_Sleep,sleep disorders - excessive daytime sleepiness,sleep disorders - excessive daytime sleepiness,"['Daytime Sleepiness', 'Sleep Disorders']",['No Specific Test']
105,BJD,AMPLE,Ex_Sleep_Duration,duration of excessive daytime sleepiness in months,duration of excessive daytime sleepiness in months,['Daytime Sleepiness'],['No Specific Test']
112,BJD,AMPLE,Insomnia_Ever,insomnia ever,insomnia ever,['Sleep Disorders'],['No Specific Test']
207,BJD,AMPLE,SD_Arm_Leg,sleep disorders - involuntary movements of arms and legs,sleep disorders - involuntary movements of arms and legs,['Sleep Disorders'],['No Specific Test']
216,BJD,AMPLE,SD_Nightmare,sleep disorders - troubled by nightmares,sleep disorders - troubled by nightmares,"['Dreams', 'Sleep Disorders']",['No Specific Test']
254,BJD,AMPLE,Night_Ever,nightmares ever,nightmares ever,['Dreams'],['No Specific Test']
322,BJD,AMPLE,Insomnia_duration,duration of insomnia in months,duration of insomnia in months,['Sleep Disorders'],['No Specific Test']
338,BJD,AMPLE,Night_Comm,nightmares comments,nightmares comments,['Dreams'],['No Specific Test']
353,BJD,AMPLE,npisleepnumber,npi total number sleep,npi total number sleep,['Sleep Quality'],['NPI']
359,BJD,AMPLE,npisleeptot,npi total (axb) sleep,npi total (axb) sleep,['Sleep Quality'],['NPI']
