"","Cohort","Full_Description","Consensus.Category","Test.Categories","cluster"
"1","Airwave","How often have you been bothered by any of the following problems over the last two weeks - trouble falling or staying asleep or sleeping too much","Sleep Difficulty","['No Specific Test']","5"
"2","Airwave","How often have you been bothered by any of the following problems over the last two weeks - trouble falling or staying asleep or sleeping too much","Sleep Latency and Waking","['No Specific Test']","5"
"3","Airwave","How much sleep do you usually get over a 24 hour period","Sleep Duration","['No Specific Test']","5"
"4","Airwave","Think about the most recent or disturbing work related incident you have dealt with since the last screen. If you have experienced any of the (listed) reactions at least twice in the last week please tell us about it - difficulty falling or staying asleep","Sleep Difficulty","['No Specific Test']","5"
"5","Airwave","Think about the most recent or disturbing work related incident you have dealt with since the last screen. If you have experienced any of the (listed) reactions at least twice in the last week please tell us about it - difficulty falling or staying asleep","Mental Health and Sleep","['No Specific Test']","5"
"6","Airwave","Think about the most recent or disturbing work related incident you have dealt with since the last screen. If you have experienced any of the (listed) reactions at least twice in the last week please tell us about it - difficulty falling or staying asleep","Sleep Latency and Waking","['No Specific Test']","5"
"7","Airwave","Think about the most recent or disturbing work related incident you have dealt with since the last screen. If you have experienced any of the (listed) reactions at least twice in the last week please tell us about it - Upsetting dreams about the event","Dreams","['No Specific Test']","5"
"8","AMPLE","sleep disorders - insomnia","Sleep Disorders","['No Specific Test']","1"
"9","AMPLE","excessive daytime sleepiness ever","Daytime Sleepiness","['No Specific Test']","1"
"10","AMPLE","sleep disorders - excessive daytime sleepiness","Daytime Sleepiness","['No Specific Test']","1"
"11","AMPLE","sleep disorders - excessive daytime sleepiness","Sleep Disorders","['No Specific Test']","1"
"12","AMPLE","duration of excessive daytime sleepiness in months","Daytime Sleepiness","['No Specific Test']","1"
"13","AMPLE","insomnia ever","Sleep Disorders","['No Specific Test']","2"
"14","AMPLE","sleep disorders - involuntary movements of arms and legs","Sleep Disorders","['No Specific Test']","1"
"15","AMPLE","sleep disorders - troubled by nightmares","Dreams","['No Specific Test']","1"
"16","AMPLE","sleep disorders - troubled by nightmares","Sleep Disorders","['No Specific Test']","1"
"17","AMPLE","nightmares ever","Dreams","['No Specific Test']","2"
"18","AMPLE","duration of insomnia in months","Sleep Disorders","['No Specific Test']","1"
"19","AMPLE","nightmares comments","Dreams","['No Specific Test']","2"
"20","AMPLE","npi total number sleep","Sleep Quality","['NPI']","1"
"21","AMPLE","npi total (axb) sleep","Sleep Quality","['NPI']","1"
"22","AMPLE","troubled by vivid dreams?","Sleep Quality","['No Specific Test']","2"
"23","AMPLE","hypnotic prescribed?","Sleep Medications and Aids","['No Specific Test']","3"
"24","AMPLE","duration of nightmares in months","Dreams","['No Specific Test']","1"
"25","AMPLE","troubled by nightmares","Sleep Difficulty","['No Specific Test']","2"
"26","AMPLE","troubled by nightmares","Dreams","['No Specific Test']","2"
"27","AMPLE","hypnotic dose/comments","Sleep Medications and Aids","['No Specific Test']","3"
"28","AMPLE","vivid dreams comments","Dreams","['No Specific Test']","2"
"29","AMPLE","dcfs how much of the day does the patient sleep","Daytime Sleepiness","['No Specific Test']","5"
"30","AMPLE","sleep disorders - cried out during sleep","Sleep Disorders","['No Specific Test']","1"
"31","AMPLE","cried out during sleep?","Sleep Disorders","['No Specific Test']","2"
"32","AMPLE","npi sleep","Sleep Quality","['NPI']","3"
"33","AMPLE","sleep disorders - restless legs syndrome","Sleep Disorders","['No Specific Test']","1"
"34","AMPLE","sleep disorders - acting out dreams","Dreams","['No Specific Test']","1"
"35","AMPLE","sleep disorders - acting out dreams","Sleep Disorders","['No Specific Test']","1"
"36","AMPLE","duration of cried out during sleep in months","Sleep Disorders","['No Specific Test']","1"
"37","AMPLE","npi frequency of sleep","Sleep Quality","['NPI']","1"
"38","AMPLE","sleep disorders - troubled by vivid dreams","Sleep Difficulty","['No Specific Test']","1"
"39","AMPLE","sleep disorders - troubled by vivid dreams","Dreams","['No Specific Test']","1"
"40","AMPLE","sleep disorders - troubled by vivid dreams","Sleep Disorders","['No Specific Test']","1"
"41","AMPLE","npi distress sleep","Mental Health and Sleep","['NPI']","1"
"42","AMPLE","duration of increased sleepiness in months","Daytime Sleepiness","['No Specific Test']","1"
"43","AMPLE","npi severity of sleep","Sleep Difficulty","['NPI']","1"
"44","AMPLE","sleep disorders - transient loss of consciousness","Sleep Disorders","['No Specific Test']","1"
"45","AMPLE","acting out dreams ever","Dreams","['No Specific Test']","0"
"46","AMPLE","vivid dreams ever","Dreams","['No Specific Test']","2"
"47","AMPLE","reactions to new medications - increased sleepiness","Sleep Medications and Aids","['No Specific Test']","1"
"48","AMPLE","acting out dreams comments","Dreams","['No Specific Test']","2"
"49","AMPLE","duration of acting out dreams in months","Dreams","['No Specific Test']","1"
"50","AMPLE","duration of vivid dreams in months","Dreams","['No Specific Test']","1"
"51","BRACE","a024 sleep problems - 1=absent, 2=present,","Sleep Difficulty","['No Specific Test']","4"
"52","CamCAN","during the past month, how often have you had trouble sleeping because you:- had bad dreams","Sleep Difficulty","['No Specific Test']","5"
"53","CamCAN","during the past month, how often have you had trouble sleeping because you:- had bad dreams","Dreams","['No Specific Test']","5"
"54","CamCAN","during the past month, how often have you had trouble sleeping because you:- cannot breathe comfortably","Sleep Difficulty","['No Specific Test']","5"
"55","CamCAN","during the past month, how often have you had trouble sleeping because you:- cannot breathe comfortably","Sleep Environment","['No Specific Test']","5"
"56","CamCAN","during the past month, how often have you had trouble sleeping because you:- cannot get to sleep within 30 minutes","Sleep Difficulty","['No Specific Test']","5"
"57","CamCAN","during the past month, how often have you had trouble sleeping because you:- cannot get to sleep within 30 minutes","Sleep Latency and Waking","['No Specific Test']","5"
"58","CamCAN","during the past month, how often have you had trouble sleeping because you:- cough or snore loudly","Sleep Difficulty","['No Specific Test']","5"
"59","CamCAN","during the past month, how often have you had trouble sleeping because you:- wake up in the middle of the night or early morning","Sleep Difficulty","['No Specific Test']","5"
"60","CamCAN","during the past month, how often have you had trouble sleeping because you:- wake up in the middle of the night or early morning","Sleep Latency and Waking","['No Specific Test']","5"
"61","CamCAN","during the past month, how often have you had trouble sleeping because you:- have pain","Sleep Difficulty","['No Specific Test']","5"
"62","CamCAN","during the past month, how often have you had trouble sleeping because you:- have pain","Physical Health and Sleep","['No Specific Test']","5"
"63","CamCAN","during the past month, how often have you had trouble sleeping because you:- have to get up to use the bathroom","Sleep Difficulty","['No Specific Test']","5"
"64","CamCAN","during the past month, how often have you had trouble sleeping because you:- feel too cold","Sleep Difficulty","['No Specific Test']","5"
"65","CamCAN","during the past month, how often have you had trouble sleeping because you:- feel too cold","Sleep Environment","['No Specific Test']","5"
"66","CamCAN","during the past month, how often have you had trouble sleeping because you:- feel too hot","Sleep Difficulty","['No Specific Test']","5"
"67","CamCAN","during the past month, how often have you had trouble sleeping because you:- feel too hot","Sleep Environment","['No Specific Test']","5"
"68","CamCAN","during the past month, how often have you had trouble sleeping because you:- any other reasons, and if so how often?","Sleep Difficulty","['No Specific Test']","5"
"69","CamCAN","during the past month how would you rate your sleep quality overall?","Sleep Quality","['No Specific Test']","5"
"70","CamCAN","during the past month, how many hours of actual sleep did you get at night? (this may be different than the number of hours you spend in bed)","Sleep Duration","['No Specific Test']","5"
"71","CamCAN","during the past month, how often have you taken medicine (prescribed or over the counter) to help you sleep?","Sleep Medications and Aids","['No Specific Test']","5"
"72","CamCAN","average daily sleep time (hours) during the week","Sleep Duration","['No Specific Test']","1"
"73","CamCAN","during the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?","Daytime Sleepiness","['No Specific Test']","5"
"74","CamCAN","during the past month, how long (in minutes) has it usually taken you to fall asleep each night?","Sleep Latency and Waking","['No Specific Test']","5"
"75","CamCAN","average daily sleep time (hours) during the weekend","Sleep Duration","['No Specific Test']","1"
"76","CamCAN","time spent sedentary, excluding sleep [hrs/d]","Uncategorized","['No Specific Test']","2"
"77","CamPaIGN","How likely are you to doze off or fall asleep in the following situations?","Daytime Sleepiness","['Epworth Sleepiness Scale']","5"
"78","CaPS","[c5 ca personality] sleep pattern disturbance ","Sleep Difficulty","['No Specific Test']","1"
"79","CaPS","[c3 sleep disturbance q16] do you take sleeping tables? ","Sleep Difficulty","['No Specific Test']","5"
"80","CaPS","[c3 sleep disturbance q16] do you take sleeping tables? ","Sleep Medications and Aids","['No Specific Test']","5"
"81","CaPS","[c3 sleep disturbance q11b] wake up during the night and have a hard time getting back to sleep? ","Sleep Difficulty","['No Specific Test']","0"
"82","CaPS","[c3 sleep disturbance q11b] wake up during the night and have a hard time getting back to sleep? ","Sleep Latency and Waking","['No Specific Test']","0"
"83","CaPS","[c3 sleep disturbance q11d] not feel rested during the day, no matter how many hours of sleep you had? ","Sleep Quality","['No Specific Test']","5"
"84","CaPS","[c3 sleep disturbance q11d] not feel rested during the day, no matter how many hours of sleep you had? ","Daytime Sleepiness","['No Specific Test']","5"
"85","CaPS","[c1 clinic interview q23c4c] personality: are you: have trouble sleeping or falling asleep ","Sleep Difficulty","['No Specific Test']","5"
"86","CaPS","[c1 clinic interview q23c4c] personality: are you: have trouble sleeping or falling asleep ","Sleep Latency and Waking","['No Specific Test']","5"
