From,To,Similarity,X.y,fdd_var,cohort
sleep,Sleep,1,84288,sleepu1_v2,mrc
s. has difficulty in sleeping?,Difficulty sleeping,0.96,13921,v64_h2,cfas
s. has difficulty in sleeping?,Difficulty sleeping,0.96,16457,v64_h0,cfas
s. has difficulty in sleeping?,Difficulty sleeping,0.96,16752,v64_h1,cfas
s. has difficulty in sleeping?,Difficulty sleeping,0.96,18099,v64_h3,cfas
trouble sleeping?,Trouble sleeping in past 4W,0.957,9696,v84_a0,cfas
trouble sleeping?,Trouble sleeping in past 4W,0.957,10130,v84_a2,cfas
my sleep was restless,Sleep is Restless,0.954,84479,CESDQ11,nicola
sleep: rating sleep quality overall,Overall Sleep Quality Rating,0.953,66009,heslpf,elsa
 sleep: rating sleep quality overall,Overall Sleep Quality Rating,0.953,72708,heslpf,elsa
sleep disorders - insomnia,sleep disorder; insomnia type,0.938,883,SD_Insomnia,ample
any trouble sleeping?,Trouble sleeping in past 4W,0.928,10599,v113_c12,cfas
any trouble sleeping?,Trouble sleeping in past 4W,0.928,11185,v113_c14,cfas
any trouble sleeping?,Trouble sleeping in past 4W,0.928,11769,v113_c16,cfas
any trouble sleeping?,Trouble sleeping in past 4W,0.928,12361,v113_c2,cfas
any trouble sleeping?,Trouble sleeping in past 4W,0.928,12867,v113_c6,cfas
any trouble sleeping?,Trouble sleeping in past 4W,0.928,13406,v113_c8,cfas
any trouble sleeping?,Trouble sleeping in past 4W,0.928,14640,v113_cx,cfas
any trouble sleeping?,Trouble sleeping in past 4W,0.928,15503,v113_f1,cfas
any trouble sleeping?,Trouble sleeping in past 4W,0.928,15997,v113_f3,cfas
any trouble sleeping?,Trouble sleeping in past 4W,0.928,20188,v113_s6,cfas
any trouble sleeping?,Trouble sleeping in past 4W,0.928,20780,v113_w8,cfas
difficulty with sleeping now?,Difficulty sleeping,0.907,13963,v103_h2,cfas
difficulty with sleeping now?,Difficulty sleeping,0.907,16499,v103_h0,cfas
difficulty with sleeping now?,Difficulty sleeping,0.907,16794,v103_h1,cfas
difficulty with sleeping now?,Difficulty sleeping,0.907,18141,v103_h3,cfas
difficulty in sleeping in last 30 days,Difficulty sleeping,0.904,63458,shwake1,elsa
difficulty in sleeping in last 30 days,Difficulty sleeping,0.904,63483,swwake1,elsa
onset. difficulty sleeping?,Difficulty sleeping,0.899,13962,v102_h2,cfas
onset. difficulty sleeping?,Difficulty sleeping,0.899,16498,v102_h0,cfas
onset. difficulty sleeping?,Difficulty sleeping,0.899,16793,v102_h1,cfas
onset. difficulty sleeping?,Difficulty sleeping,0.899,18140,v102_h3,cfas
pittsburgh sleep quality index (psqi): total score,Pittsburgh Sleep Quality Index score,0.887,84267,psqi14x,mrc
difficulty in getting to sleep,"In the past Y, have you had difficulty getting to sleep",0.886,35901,v88_h1,cfasii
difficulty in getting to sleep,"In the past Y, have you had difficulty getting to sleep",0.886,36234,v88_h2,cfasii
trouble falling or staying asleep,"Trouble falling or staying asleep, or sleeping too much in last 2W",0.88,84441,Q83m,nicola
take alcohol to sleep?,ALCOHOL USE FOR SLEEP,0.87,14126,v231_h2,cfas
take alcohol to sleep?,ALCOHOL USE FOR SLEEP,0.87,14481,v231_h6,cfas
take alcohol to sleep?,ALCOHOL USE FOR SLEEP,0.87,16654,v231_h0,cfas
take alcohol to sleep?,ALCOHOL USE FOR SLEEP,0.87,16949,v231_h1,cfas
take alcohol to sleep?,ALCOHOL USE FOR SLEEP,0.87,17306,v231_h12,cfas
take alcohol to sleep?,ALCOHOL USE FOR SLEEP,0.87,17641,v231_h14,cfas
take alcohol to sleep?,ALCOHOL USE FOR SLEEP,0.87,17976,v231_h16,cfas
take alcohol to sleep?,ALCOHOL USE FOR SLEEP,0.87,18296,v231_h3,cfas
take alcohol to sleep?,ALCOHOL USE FOR SLEEP,0.87,18644,v231_h6,cfas
take alcohol to sleep?,ALCOHOL USE FOR SLEEP,0.87,18975,v231_h8,cfas
take alcohol to sleep?,ALCOHOL USE FOR SLEEP,0.87,19312,v231_hx,cfas
take alcohol to sleep?,ALCOHOL USE FOR SLEEP,0.87,36123,v310_h1,cfasii
take alcohol to sleep?,ALCOHOL USE FOR SLEEP,0.87,36456,v310_h2,cfasii
take alcohol to sleep?,ALCOHOL USE FOR SLEEP,0.87,14126,v231_h2,cfas
take alcohol to sleep?,ALCOHOL USE FOR SLEEP,0.87,14481,v231_h6,cfas
take alcohol to sleep?,ALCOHOL USE FOR SLEEP,0.87,16654,v231_h0,cfas
take alcohol to sleep?,ALCOHOL USE FOR SLEEP,0.87,16949,v231_h1,cfas
take alcohol to sleep?,ALCOHOL USE FOR SLEEP,0.87,17306,v231_h12,cfas
take alcohol to sleep?,ALCOHOL USE FOR SLEEP,0.87,17641,v231_h14,cfas
take alcohol to sleep?,ALCOHOL USE FOR SLEEP,0.87,17976,v231_h16,cfas
take alcohol to sleep?,ALCOHOL USE FOR SLEEP,0.87,18296,v231_h3,cfas
take alcohol to sleep?,ALCOHOL USE FOR SLEEP,0.87,18644,v231_h6,cfas
