"","ui","rootSource","uri","name"
"1","C0037315","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0037315","Sleep Apnea Syndromes"
"2","C0851578","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0851578","Sleep Disorders"
"3","C0037313","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0037313","Sleep"
"4","C0917801","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0917801","Sleeplessness"
"5","C0037672","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0037672","Somnambulism"
"6","C0037316","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0037316","Sleep Deprivation"
"7","C0917799","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0917799","Hypersomnia"
"8","C0037317","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0037317","Sleep disturbances"
"9","C0027404","MSH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0027404","Narcolepsy"
"10","C0520679","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0520679","Sleep Apnea, Obstructive"
"11","C0037320","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0037320","Night Terrors"
"12","C0162701","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0162701","Polysomnography"
"13","C0542313","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0542313","Sleep Talking"
"14","C0456511","MSH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0456511","Sleep Paralysis"
"15","C0037322","MSH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0037322","Sleep, REM"
"16","C0751772","MSH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0751772","REM Sleep Behavior Disorder"
"17","C0200101","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0200101","Sleep electroencephalogram"
"18","C0877792","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0877792","Sleep Disorders, Circadian Rhythm"
"19","C0234451","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0234451","Sleep, Slow-Wave"
"20","C0021603","MSH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0021603","Sleep Initiation and Maintenance Disorders"
"21","C0393770","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0393770","Delayed Sleep Phase Syndrome"
"22","C0424563","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0424563","Quality of sleep"
"23","C0278182","MTH","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0278182","Light sleep"
"24","C0235160","SNOMEDCT_US","https://uts-ws.nlm.nih.gov/rest/content/2022AA/CUI/C0235160","Restless sleep"
